Consecutive number,"Connection
device identifier(full)","cable
Type/connections number/RCS",Connection: Type designation,Connection color / number,Connection: Cross-section / diameter,Length (full),source,target,Wire termination processing source,Wire termination processing target,Routing direction source,Routing direction target,Bundle,Layout space: Routing track,Connection designation,Remark
1,=+,,H05V-K,OG,"0,5",,=A01+K1.H2-Q1:D2,=A01+K1.B1-K3:14,,,,,,,,
2,=+,,H07RN-F,BK,95,,=A01+K1.H2-W0:L1,=A01+K1.H2-Q1:T1,,,,,,,,
3,=+,,H07RN-F,BK,95,,=A01+K1.H2-F0:2,=A01+K1.H2-Q1:L1,,,,,,,,
4,=+,,NSGAF?U,BK,2.5,,=A01+K1.H2-Q1:L1,=A01+K1.H2-Q2:L1,,,,,,,,
5,=+,,H07RN-F,BK,95,,=A01+K1.H2-W0:L2,=A01+K1.H2-Q1:T2,,,,,,,,
6,=+,,H07RN-F,BK,95,,=A01+K1.H2-F0:4,=A01+K1.H2-Q1:L2,,,,,,,,
7,=+,,NSGAF?U,BK,2.5,,=A01+K1.H2-Q1:L2,=A01+K1.H2-Q2:L2,,,,,,,,
8,=+,,H07RN-F,BK,95,,=A01+K1.H2-W0:L3,=A01+K1.H2-Q1:T3,,,,,,,,
9,=+,,H07RN-F,BK,95,,=A01+K1.H2-Q1:L3,=A01+K1.H2-F0:6,,,,,,,,
10,=+,,NSGAF?U,BK,2.5,,=A01+K1.H2-Q1:L3,=A01+K1.H2-Q2:L3,,,,,,,,
11,=+,,H07V-K,BU,16,,=A01+K1.H2-X1:N:2,=A01+K1.H2-X1:N:1,,,,,,,,
12,=+,,H07V-K,BU,16,,=A01+K1.H2-X1:N:2,=A02+K1.H2-X5:N:1,,,,,,,,
13,=+,,H07RN-F,BK,70,,N,=A01+K1.H2-X1:N:1,,,,,,,,
14,=A01+I1-W100,H07V-K 1x50 mm?,,GNYE,50,5 m,=A01+K1.H2-X1:PE:2,=A01+S1-W0:PE,,,,,,,,
15,=+,,H05V-K,direkt verbunden,"0,5",,=A01+K1.H2-X1:PE:4,=A02+K1.H2-W20:SE,,,,,,,,
16,=+,,H07RN-F,BK,70,,PE,=A01+K1.H2-X1:PE:3,,,,,,,,
17,=+,,H07V-K,GNYE,16,,=A01+K1.H2-X1:PE:2,=A02+K1.H2-X6:PE:1,,,,,,,,
18,=+,,H05V-K,OG,"0,5",,=A01+K1.H2-Q1:3.14,=A01+K1.H2-G1:SEC:31,,,,,,,,
19,=+,,H05V-K,OG,"0,75",,=A01+K1.H2-Q1:3.13,=A01+K1.H2-Q1:D1,,,,,,,,
20,=+,,H07V-K,GNYE,"1,5",,=A01+K1.H2-G1:SEC:31,=A01+K1.H2-X1:PE:1,,,,,,,,
21,=+,,H07V-K,GNYE,"1,5",,=A01+K1.H2-X1:PE:1,=A01+K1.H2-G1:PRI:PE,,,,,,,,
22,=+,,H07V-K,OG,"1,5",,=A01+K1.H2-Q2:T1,=A01+K1.H2-G1:PRI:1,,,,,,,,
23,=+,,H05V-K,OG,"0,5",,=A01+K1.H2-G1:SEC:32,=A02+K1.B1-X20-X20.5F:20,,,,,,,,
24,=+,,H07V-K,OG,"1,5",,=A01+K1.H2-Q2:T2,=A01+K1.H2-G1:PRI:2,,,,,,,,
25,=+,,H07V-K,OG,"1,5",,=A01+K1.H2-Q2:T3,=A01+K1.H2-X1:5:3,,,,,,,,
26,=+,,H07V-K,OG,"1,5",,=A01+K1.H2-X1:5:3,=A01+K1.H2-X1:7:3,,,,,,,,
27,=+,,H05V-K,OG,"0,5",,=A01+K1.B1-K3:11,=A01+K1.H2-X1:3:4,,,,,,,,
28,=+,,H05V-K,OG,"0,5",,=A01+K1.H2-X1:2:5,=A02+K1.B1-A3:13,,,,,,,,
29,=A01+K1-W301,?LFLEX? 550 P 5G0.75 mm,,GY,0.75,7 m,=A01+K1.G2-S1:4,=A01+K1.H2-X1:2:2,,,,,,,,
30,=A01+K1-W301,?LFLEX? 550 P 5G0.75 mm,,BK,0.75,7 m,=A01+K1.H2-X1:1:4,=A01+K1.G2-S1:3,,,,,,,,
31,=+,,H05V-K,OG,"0,5",,=A01+K1.B1-W7(-P1):P1:1,=A01+K1.H2-X1:1:3,,,,,,,,
32,=A01+K1-W301,?LFLEX? 550 P 5G0.75 mm,,BU,0.75,7 m,=A01+K1.G2-S1:2,=A01+K1.H2-X1:3:3,,,,,,,,
33,=A01+K1-W301,?LFLEX? 550 P 5G0.75 mm,,BN,0.75,7 m,=A01+K1.G2-S1:1,=A01+K1.H2-X1:4:2,,,,,,,,
34,=+,,H05V-K,OG,"0,5",,=A01+K1.H2-X1:4:5,=A02+K1.B1-X20-X20.5F:19,,,,,,,,
35,=+,,H05V-K,OG,"0,5",,=A02+K1.B1-X20-X20.5F:18,=A02+K1.B1-A3:14,,,,,,,,
36,=A01+I1-W303,5G0.75 mm,,BK,0.75,5.5 m,=A01+S1-S3:4,=A02+K1.B1-X20-X20.5M:18,,,,,,,,
37,=A01+I1-W303,5G0.75 mm,,BU,0.75,5.5 m,=A02+K1.B1-X20-X20.5F:17,=A01+S1-S3:1,,,,,,,,
38,=+,,H05V-K,OG,"0,5",,=A01+K1.B1-W7(-P1):P1:1,=A02+K1.B1-X20-X20.5M:17,,,,,,,,
39,=A01+I1-W303,5G0.75 mm,,GY,0.75,5.5 m,=A01+S1-S3:.2,=A02+K1.B1-X20-X20.5M:19,,,,,,,,
40,=A01+I1-W303,5G0.75 mm,,BN,0.75,5.5 m,=A01+S1-S3:.1,=A02+K1.B1-X20-X20.5M:20,,,,,,,,
41,=A02+I1-W105,,,BK,"0,75",13 m,,,,,,,,,,
42,=A02+I1-W105,,,BK,"0,75",13 m,,,,,,,,,,
43,=A02+I1-W105,,,BK,4.00,13 m,,,,,,,,,,
44,=A02+I1-W105,,,GNYE,4,13 m,,,,,,,,,,
